game,tick,actor_id,name,strategy,n_props,port_wealth,cash,final_score,risk_cost
1,10,ai1,Ms Demi Graphic,demographic,7,297531.0,1125118.0,801782.0,0.0
1,10,ai2,Mr Reid Furbish,brrr,4,333266.0,1195205.0,711790.0,38982.0
1,11,player,You,player,7,629083.0,677875.0,842858.0,16073.0
1,11,ai1,Ms Demi Graphic,demographic,8,325108.0,1115101.0,801782.0,0.0
1,11,ai2,Mr Reid Furbish,brrr,5,478926.0,992646.0,711790.0,38982.0
1,12,player,You,player,8,694684.0,636036.0,842858.0,16073.0
1,12,ai1,Ms Demi Graphic,demographic,8,317139.0,1151335.0,801782.0,0.0
1,12,ai2,Mr Reid Furbish,brrr,5,676948.0,934602.0,711790.0,38982.0
1,13,player,You,player,9,743795.0,655320.0,842858.0,16073.0
1,13,ai1,Ms Demi Graphic,demographic,9,381432.0,1116946.0,801782.0,0.0
1,13,ai2,Mr Reid Furbish,brrr,4,658947.0,924647.0,711790.0,38982.0
1,14,player,You,player,9,798257.0,695998.0,842858.0,16073.0
1,14,ai1,Ms Demi Graphic,demographic,9,412382.0,1148944.0,801782.0,0.0
1,14,ai2,Mr Reid Furbish,brrr,5,822940.0,846812.0,711790.0,38982.0
1,15,player,You,player,10,879358.0,730341.0,842858.0,16073.0
1,15,ai1,Ms Demi Graphic,demographic,10,483207.0,1123106.0,801782.0,0.0
1,15,ai2,Mr Reid Furbish,brrr,5,1050728.0,837032.0,711790.0,38982.0
1,16,player,You,player,10,870331.0,809757.0,842858.0,16073.0
1,16,ai1,Ms Demi Graphic,demographic,10,501912.0,1150903.0,801782.0,0.0
1,16,ai2,Mr Reid Furbish,brrr,5,1016924.0,910721.0,711790.0,38982.0
1,17,player,You,player,10,905221.0,841877.0,842858.0,16073.0
1,17,ai1,Ms Demi Graphic,demographic,11,604486.0,1084681.0,801782.0,0.0
1,17,ai2,Mr Reid Furbish,brrr,4,941960.0,1051201.0,711790.0,38982.0
1,18,player,You,player,10,931889.0,897212.0,842858.0,16073.0
1,18,ai1,Ms Demi Graphic,demographic,12,709822.0,1056421.0,801782.0,0.0
1,18,ai2,Mr Reid Furbish,brrr,4,863118.0,1201066.0,711790.0,38982.0
1,19,player,You,player,11,995537.0,903370.0,842858.0,16073.0
1,19,ai1,Ms Demi Graphic,demographic,13,1226785.0,524508.0,801782.0,0.0
1,19,ai2,Mr Reid Furbish,brrr,4,686152.0,1441711.0,711790.0,38982.0
1,20,player,You,player,11,1017661.0,980270.0,842858.0,16073.0
1,20,ai1,Ms Demi Graphic,demographic,14,2120756.0,167026.0,801782.0,0.0
1,20,ai2,Mr Reid Furbish,brrr,4,723676.0,1498096.0,711790.0,38982.0
2,1,player,You,player,3,338500.0,575094.0,1279345.0,0.0
2,1,ai1,Mr Ray Novate,value_add,2,328900.0,1157249.0,2691757.0,0.0
2,1,ai2,Mr Reid Furbish,brrr,2,302100.0,1157852.0,1905317.0,0.0
2,2,player,You,player,3,334297.0,592026.0,1279345.0,0.0
2,2,ai1,Mr Ray Novate,value_add,2,334170.0,1210145.0,2691757.0,0.0
2,2,ai2,Mr Reid Furbish,brrr,2,312495.0,1210172.0,1905317.0,0.0
2,3,player,You,player,3,347408.0,633512.0,1279345.0,0.0
2,3,ai1,Mr Ray Novate,value_add,2,342811.0,1261695.0,2691757.0,0.0
2,3,ai2,Mr Reid Furbish,brrr,2,324487.0,1269205.0,1905317.0,0.0
2,4,player,You,player,3,341957.0,677780.0,1279345.0,0.0
2,4,ai1,Mr Ray Novate,value_add,2,352238.0,1306087.0,2691757.0,0.0
2,4,ai2,Mr Reid Furbish,brrr,2,339979.0,1314346.0,1905317.0,0.0
2,5,player,You,player,3,370692.0,721772.0,1279345.0,0.0
2,5,ai1,Mr Ray Novate,value_add,2,366859.0,1367044.0,2691757.0,0.0
2,5,ai2,Mr Reid Furbish,brrr,2,350673.0,1374553.0,1905317.0,0.0
2,6,player,You,player,3,399428.0,770244.0,1279345.0,0.0
2,6,ai1,Mr Ray Novate,value_add,2,395298.0,1437123.0,2691757.0,0.0
2,6,ai2,Mr Reid Furbish,brrr,2,377857.0,1448325.0,1905317.0,0.0
